UNIX time;Local time;genericSensor1 min;genericSensor1 avg;genericSensor1 max;genericSensor2 min;genericSensor2 avg;genericSensor2 max
1711546409;2024-03-27T15:33:29.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546410;2024-03-27T15:33:30.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546411;2024-03-27T15:33:31.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546412;2024-03-27T15:33:32.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546413;2024-03-27T15:33:33.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546414;2024-03-27T15:33:34.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546415;2024-03-27T15:33:35.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546416;2024-03-27T15:33:36.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546417;2024-03-27T15:33:37.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546418;2024-03-27T15:33:38.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546419;2024-03-27T15:33:39.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546420;2024-03-27T15:33:40.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546421;2024-03-27T15:33:41.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546422;2024-03-27T15:33:42.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546423;2024-03-27T15:33:43.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546424;2024-03-27T15:33:44.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546425;2024-03-27T15:33:45.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546426;2024-03-27T15:33:46.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546427;2024-03-27T15:33:47.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546428;2024-03-27T15:33:48.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546429;2024-03-27T15:33:49.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546430;2024-03-27T15:33:50.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546431;2024-03-27T15:33:51.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546432;2024-03-27T15:33:52.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546433;2024-03-27T15:33:53.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546434;2024-03-27T15:33:54.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546435;2024-03-27T15:33:55.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546436;2024-03-27T15:33:56.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546437;2024-03-27T15:33:57.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546438;2024-03-27T15:33:58.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546439;2024-03-27T15:33:59.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546440;2024-03-27T15:34:00.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546441;2024-03-27T15:34:01.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546442;2024-03-27T15:34:02.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546443;2024-03-27T15:34:03.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546444;2024-03-27T15:34:04.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546445;2024-03-27T15:34:05.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546446;2024-03-27T15:34:06.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546447;2024-03-27T15:34:07.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546448;2024-03-27T15:34:08.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546449;2024-03-27T15:34:09.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546450;2024-03-27T15:34:10.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546451;2024-03-27T15:34:11.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546452;2024-03-27T15:34:12.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546453;2024-03-27T15:34:13.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546454;2024-03-27T15:34:14.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546455;2024-03-27T15:34:15.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546456;2024-03-27T15:34:16.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546457;2024-03-27T15:34:17.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546458;2024-03-27T15:34:18.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546459;2024-03-27T15:34:19.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546460;2024-03-27T15:34:20.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546461;2024-03-27T15:34:21.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546462;2024-03-27T15:34:22.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546463;2024-03-27T15:34:23.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546464;2024-03-27T15:34:24.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546465;2024-03-27T15:34:25.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546466;2024-03-27T15:34:26.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546467;2024-03-27T15:34:27.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546468;2024-03-27T15:34:28.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546469;2024-03-27T15:34:29.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546470;2024-03-27T15:34:30.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546471;2024-03-27T15:34:31.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546472;2024-03-27T15:34:32.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546473;2024-03-27T15:34:33.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546474;2024-03-27T15:34:34.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546475;2024-03-27T15:34:35.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546476;2024-03-27T15:34:36.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546477;2024-03-27T15:34:37.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546478;2024-03-27T15:34:38.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546479;2024-03-27T15:34:39.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546480;2024-03-27T15:34:40.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546481;2024-03-27T15:34:41.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546482;2024-03-27T15:34:42.000;145.132;145.132;145.132;144.665;144.665;144.665
1711546483;2024-03-27T15:34:43.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546484;2024-03-27T15:34:44.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546485;2024-03-27T15:34:45.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546486;2024-03-27T15:34:46.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546487;2024-03-27T15:34:47.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546488;2024-03-27T15:34:48.000;145.132;145.132;145.132;144.199;144.199;144.199
1711546489;2024-03-27T15:34:49.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546490;2024-03-27T15:34:50.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546491;2024-03-27T15:34:51.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546492;2024-03-27T15:34:52.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546493;2024-03-27T15:34:53.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546494;2024-03-27T15:34:54.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546495;2024-03-27T15:34:55.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546496;2024-03-27T15:34:56.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546497;2024-03-27T15:34:57.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546498;2024-03-27T15:34:58.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546499;2024-03-27T15:34:59.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546500;2024-03-27T15:35:00.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546501;2024-03-27T15:35:01.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546502;2024-03-27T15:35:02.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546503;2024-03-27T15:35:03.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546504;2024-03-27T15:35:04.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546505;2024-03-27T15:35:05.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546506;2024-03-27T15:35:06.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546507;2024-03-27T15:35:07.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546508;2024-03-27T15:35:08.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546509;2024-03-27T15:35:09.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546510;2024-03-27T15:35:10.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546511;2024-03-27T15:35:11.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546512;2024-03-27T15:35:12.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546513;2024-03-27T15:35:13.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546514;2024-03-27T15:35:14.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546515;2024-03-27T15:35:15.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546516;2024-03-27T15:35:16.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546517;2024-03-27T15:35:17.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546518;2024-03-27T15:35:18.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546519;2024-03-27T15:35:19.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546520;2024-03-27T15:35:20.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546521;2024-03-27T15:35:21.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546522;2024-03-27T15:35:22.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546523;2024-03-27T15:35:23.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546524;2024-03-27T15:35:24.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546525;2024-03-27T15:35:25.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546526;2024-03-27T15:35:26.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546527;2024-03-27T15:35:27.000;144.665;144.665;144.665;144.199;144.199;144.199
1711546528;2024-03-27T15:35:28.000;144.665;144.665;144.665;143.732;143.732;143.732
1711546529;2024-03-27T15:35:29.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546530;2024-03-27T15:35:30.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546531;2024-03-27T15:35:31.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546532;2024-03-27T15:35:32.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546533;2024-03-27T15:35:33.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546534;2024-03-27T15:35:34.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546535;2024-03-27T15:35:35.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546536;2024-03-27T15:35:36.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546537;2024-03-27T15:35:37.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546538;2024-03-27T15:35:38.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546539;2024-03-27T15:35:39.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546540;2024-03-27T15:35:40.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546541;2024-03-27T15:35:41.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546542;2024-03-27T15:35:42.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546543;2024-03-27T15:35:43.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546544;2024-03-27T15:35:44.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546545;2024-03-27T15:35:45.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546546;2024-03-27T15:35:46.000;144.199;144.199;144.199;143.732;143.732;143.732
1711546547;2024-03-27T15:35:47.000;144.199;144.199;144.199;144.199;144.199;144.199
1711546548;2024-03-27T15:35:48.000;48.533;48.533;48.533;144.199;144.199;144.199
1711546549;2024-03-27T15:35:49.000;48.533;48.533;48.533;144.199;144.199;144.199
1711546550;2024-03-27T15:35:50.000;9.333;9.333;9.333;144.199;144.199;144.199
1711546551;2024-03-27T15:35:51.000;144.199;144.199;144.199;109.199;109.199;109.199
1711546552;2024-03-27T15:35:52.000;143.732;143.732;143.732;11.667;11.667;11.667
1711546553;2024-03-27T15:35:53.000;143.732;143.732;143.732;43.866;43.866;43.866
1711546554;2024-03-27T15:35:54.000;143.265;143.265;143.265;64.866;64.866;64.866
1711546555;2024-03-27T15:35:55.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546556;2024-03-27T15:35:56.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546557;2024-03-27T15:35:57.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546558;2024-03-27T15:35:58.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546559;2024-03-27T15:35:59.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546560;2024-03-27T15:36:00.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546561;2024-03-27T15:36:01.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546562;2024-03-27T15:36:02.000;141.865;141.865;141.865;143.732;143.732;143.732
1711546563;2024-03-27T15:36:03.000;141.865;141.865;141.865;143.732;143.732;143.732
1711546564;2024-03-27T15:36:04.000;141.865;141.865;141.865;143.732;143.732;143.732
1711546565;2024-03-27T15:36:05.000;141.865;141.865;141.865;143.732;143.732;143.732
1711546566;2024-03-27T15:36:06.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546567;2024-03-27T15:36:07.000;142.332;142.332;142.332;143.732;143.732;143.732
1711546568;2024-03-27T15:36:08.000;141.865;141.865;141.865;143.732;143.732;143.732
1711546569;2024-03-27T15:36:09.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546570;2024-03-27T15:36:10.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546571;2024-03-27T15:36:11.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546572;2024-03-27T15:36:12.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546573;2024-03-27T15:36:13.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546574;2024-03-27T15:36:14.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546575;2024-03-27T15:36:15.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546576;2024-03-27T15:36:16.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546577;2024-03-27T15:36:17.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546578;2024-03-27T15:36:18.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546579;2024-03-27T15:36:19.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546580;2024-03-27T15:36:20.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546581;2024-03-27T15:36:21.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546582;2024-03-27T15:36:22.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546583;2024-03-27T15:36:23.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546584;2024-03-27T15:36:24.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546585;2024-03-27T15:36:25.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546586;2024-03-27T15:36:26.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546587;2024-03-27T15:36:27.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546588;2024-03-27T15:36:28.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546589;2024-03-27T15:36:29.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546590;2024-03-27T15:36:30.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546591;2024-03-27T15:36:31.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546592;2024-03-27T15:36:32.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546593;2024-03-27T15:36:33.000;141.865;141.865;141.865;143.265;143.265;143.265
1711546594;2024-03-27T15:36:34.000;0;0;0;0;0;0
1711546595;2024-03-27T15:36:35.000;0;0;0;0;0;0
1711546596;2024-03-27T15:36:36.000;0;0;0;0;0;0
1711546597;2024-03-27T15:36:37.000;0;0;0;0;0;0
1711546598;2024-03-27T15:36:38.000;0;0;0;0;0;0
1711546599;2024-03-27T15:36:39.000;0;0;0;0;0;0
1711546600;2024-03-27T15:36:40.000;0;0;0;0;0;0
1711546601;2024-03-27T15:36:41.000;0;0;0;0;0;0
1711546602;2024-03-27T15:36:42.000;0;0;0;0;0;0
1711546603;2024-03-27T15:36:43.000;0;0;0;0;0;0
1711546604;2024-03-27T15:36:44.000;0;0;0;0;0;0
1711546605;2024-03-27T15:36:45.000;0;0;0;0;0;0
1711546606;2024-03-27T15:36:46.000;0;0;0;0;0;0
1711546607;2024-03-27T15:36:47.000;0;0;0;0;0;0
1711546608;2024-03-27T15:36:48.000;0;0;0;0;0;0
1711546609;2024-03-27T15:36:49.000;0;0;0;0;0;0
1711546610;2024-03-27T15:36:50.000;0;0;0;0;0;0

